Year,State,epi_week,LGA,Population (2016 census),Number of cases,Deaths,Proportion of cases by LGA,Case fatality rate (%),"LGA attack rate per 1,000,000",Rainfall_mm,Temperature_C,Humidity_%,Primary_Water_Source,Secondary_Water_Source,Water_Safety_Level,Sanitation_Type,Toilet_Access_%,Open_Defecation_%,Waste_Management_Level,Health_Facilities_Count,Hospital_Count,Health_Workers,Access_Level,Flood_Risk_Level,Proximity_to_Water_Body,Elevation_m,Environmental_Risk
2019,Bauchi,1,Alkaleri,89943,0,0,0,0,0,3,35.4,29,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,2,Alkaleri,89943,0,0,0,0,0,0,32.1,21,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,3,Alkaleri,89943,0,0,0,0,0,3,33.4,31,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,4,Alkaleri,89943,0,0,0,0,0,3,35,34,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,5,Alkaleri,89943,0,0,0,0,0,2,37.5,23,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,6,Alkaleri,89943,0,0,0,0,0,1,36,21,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,7,Alkaleri,89943,0,0,0,0,0,1,35.4,32,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,8,Alkaleri,89943,0,0,0,0,0,1,36.7,21,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,9,Alkaleri,89943,0,0,0,0,0,11,41.2,33,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,10,Alkaleri,89943,0,0,0,0,0,9,38.6,31,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,11,Alkaleri,89943,0,0,0,0,0,10,41.7,45,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,12,Alkaleri,89943,0,0,0,0,0,14,36.2,42,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,13,Alkaleri,89943,0,0,0,0,0,18,28.8,42,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,14,Alkaleri,89943,0,0,0,0,0,10,27.1,38,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,15,Alkaleri,89943,0,0,0,0,0,33,29.4,37,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,16,Alkaleri,89943,0,0,0,0,0,33,27.1,48,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,17,Alkaleri,89943,0,0,0,0,0,26,31.3,57,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,18,Alkaleri,89943,0,0,0,0,0,10,30.6,64,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
2019,Bauchi,19,Alkaleri,89943,0,0,0,0,0,16,30.9,82,Borehole ,Borehole,Low,Flush Toilet,30,15,Poor,10,2,55,Moderate,High,Near River,450,High
